--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503617,0,132,138,2763,21428,20,5186,16450,2.000000,21428
503618,0,63,140,2810,21428,20,5186,16731,2.000000,21428
503619,0,70,142,2850,21428,20,5186,16969,2.000000,21428
FLICKER@288: arm1 frame=503621 angle=2888 pat=15->16 dist=8
503620,0,145,144,2888,21428,20,5186,17192,2.000000,21428
503621,0,69,146,2938,21428,20,5186,17493,2.000000,21428
503622,0,65,148,2975,21428,20,5186,17710,2.000000,21428
503623,0,78,150,3017,21428,20,5186,17963,2.000000,21428
503624,0,65,152,3056,21428,20,5186,18192,2.000000,21428
503625,0,69,154,3097,21428,20,5186,18439,2.000000,21428
503626,0,66,156,3136,21428,20,5186,18671,2.000000,21428
503627,0,69,158,3175,21428,20,5186,18899,2.000000,21428
503628,0,71,160,3213,21428,20,5186,19129,2.000000,21428
503629,0,70,162,3255,21428,20,5186,19378,2.000000,21428
503630,0,65,164,3294,21428,20,5186,19610,2.000000,21428
503631,0,69,166,3331,21428,20,5186,19832,2.000000,21428
503632,0,75,168,3374,21428,20,5186,20087,2.000000,21428
503633,0,74,170,3416,21428,20,5186,20337,2.000000,21428
503634,0,66,172,3457,21428,20,5186,20577,2.000000,21428
503635,0,77,174,3495,21428,20,5186,20807,2.000000,21428
503636,0,66,176,3537,21428,20,5186,21058,2.000000,21428
503637,0,81,178,3575,21428,20,5186,21282,2.000000,21428
503638,0,70,1,20,21428,20,5187,122,2.000000,21428
503639,0,72,2,58,21428,20,5187,351,2.000000,21428
503640,0,67,5,100,21428,20,5187,596,2.000000,21428
503641,0,75,6,139,21428,20,5187,831,2.000000,21428
503642,0,75,8,178,21428,20,5187,1060,2.000000,21428
503643,0,69,10,218,21428,20,5187,1298,2.000000,21428
503644,0,68,12,259,21428,20,5187,1543,2.000000,21428
503645,0,84,14,296,21428,20,5187,1763,2.000000,21428
503646,0,65,16,338,21428,20,5187,2017,2.000000,21428
503647,0,81,18,374,21428,20,5187,2230,2.000000,21428
503648,0,65,20,415,21428,20,5187,2472,2.000000,21428
503649,0,83,22,455,21428,20,5187,2714,2.000000,21428
503650,0,67,24,499,21428,20,5187,2972,2.000000,21428
503651,0,69,26,537,21428,20,5187,3200,2.000000,21428
503652,0,66,28,575,21428,20,5187,3426,2.000000,21428
503653,0,71,30,617,21428,20,5187,3678,2.000000,21428
503654,0,66,32,659,21428,20,5187,3924,2.000000,21428
503655,0,69,34,697,21428,20,5187,4153,2.000000,21428
503656,0,76,36,736,21428,20,5187,4385,2.000000,21428
503657,0,73,38,778,21428,20,5187,4633,2.000000,21428
503658,0,73,40,819,21428,20,5187,4876,2.000000,21428
503659,0,74,42,858,21428,20,5187,5112,2.000000,21428
503660,0,67,44,898,21428,20,5187,5346,2.000000,21428
503661,0,78,46,936,21428,20,5187,5575,2.000000,21428
503662,0,70,49,980,21428,20,5187,5834,2.000000,21428
503663,0,69,50,1019,21428,20,5187,6066,2.000000,21428
503664,0,65,52,1058,21428,20,5187,6300,2.000000,21428
503665,0,74,54,1099,21428,20,5187,6542,2.000000,21428
503666,0,75,56,1139,21428,20,5187,6780,2.000000,21428
503667,0,69,59,1180,21428,20,5187,7025,2.000000,21428
503668,0,67,60,1219,21428,20,5187,7258,2.000000,21428
503669,0,69,62,1259,21428,20,5187,7494,2.000000,21428
503670,0,87,64,1297,21428,20,5187,7724,2.000000,21428
503671,0,83,67,1340,21428,20,5187,7976,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503673 angle=1620 pat=8->9 dist=0
503672,0,125,69,1380,21428,20,5187,8220,2.000000,21428
503673,0,70,71,1430,21428,20,5187,8514,2.000000,21428
503674,0,90,73,1468,21428,20,5187,8738,2.000000,21428
503675,0,69,75,1511,21428,20,5187,8997,2.000000,21428
503676,0,65,77,1551,21428,20,5187,9232,2.000000,21428
503677,0,70,79,1590,21428,20,5187,9468,2.000000,21428
503678,0,79,81,1628,21428,20,5187,9696,2.000000,21428
503679,0,78,83,1671,21428,20,5187,9949,2.000000,21428
503680,0,67,85,1711,21428,20,5187,10190,2.000000,21428
503681,0,69,87,1750,21428,20,5187,10421,2.000000,21428
503682,0,66,89,1792,21428,20,5187,10668,2.000000,21428
503683,0,73,91,1832,21428,20,5187,10910,2.000000,21428
503684,0,76,93,1871,21428,20,5187,11142,2.000000,21428
503685,0,73,95,1912,21428,20,5187,11385,2.000000,21428
503686,0,71,97,1954,21428,20,5187,11636,2.000000,21428
503687,0,74,99,1995,21428,20,5187,11877,2.000000,21428
503688,0,65,101,2035,21428,20,5187,12117,2.000000,21428
503689,0,70,103,2074,21428,20,5187,12349,2.000000,21428
503690,0,67,105,2116,21428,20,5187,12595,2.000000,21428
503691,0,71,107,2156,21428,20,5187,12835,2.000000,21428
503692,0,67,109,2196,21428,20,5187,13074,2.000000,21428
503693,0,78,111,2234,21428,20,5187,13301,2.000000,21428
503694,0,67,113,2278,21428,20,5187,13565,2.000000,21428
503695,0,70,115,2318,21428,20,5187,13802,2.000000,21428
503696,0,65,117,2359,21428,20,5187,14042,2.000000,21428
503697,0,69,119,2398,21428,20,5187,14276,2.000000,21428
503698,0,67,121,2438,21428,20,5187,14512,2.000000,21428
503699,0,69,123,2477,21428,20,5187,14748,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503701 angle=2521 pat=13->14 dist=1
503700,0,174,126,2521,21428,20,5187,15009,2.000000,21428
503701,0,79,128,2576,21428,20,5187,15338,2.000000,21428
503702,0,70,131,2620,21428,20,5187,15597,2.000000,21428
FLICKER@288: arm2 frame=503704 angle=2900 pat=15->16 dist=20
503703,0,132,133,2660,21428,20,5187,15838,2.000000,21428
503704,0,66,135,2710,21428,20,5187,16133,2.000000,21428
503705,0,69,137,2749,21428,20,5187,16366,2.000000,21428
FLICKER@288: arm0 frame=503707 angle=2911 pat=15->16 dist=31
503706,0,113,139,2791,21428,20,5187,16613,2.000000,21428
503707,0,71,142,2841,21428,20,5187,16912,2.000000,21428
FLICKER@288: arm1 frame=503709 angle=2880 pat=15->16 dist=0
503708,0,140,144,2880,21428,20,5187,17148,2.000000,21428
503709,0,69,146,2931,21428,20,5187,17451,2.000000,21428
503710,0,83,148,2971,21428,20,5187,17685,2.000000,21428
503711,0,77,150,3015,21428,20,5187,17946,2.000000,21428
503712,0,66,152,3055,21428,20,5187,18186,2.000000,21428
503713,0,69,154,3094,21428,20,5187,18419,2.000000,21428
503714,0,68,156,3136,21428,20,5187,18667,2.000000,21428
503715,0,72,158,3177,21428,20,5187,18911,2.000000,21428
503716,0,78,160,3216,21428,20,5187,19147,2.000000,21428
503717,0,76,162,3257,21428,20,5187,19390,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503719 angle=3420 pat=18->19 dist=0
503718,0,162,165,3300,21428,20,5187,19644,2.000000,21428
503719,0,69,167,3357,21428,20,5187,19985,2.000000,21428
503720,0,67,169,3397,21428,20,5187,20220,2.000000,21428
503721,0,69,171,3436,21428,20,5187,20454,2.000000,21428
503722,0,83,173,3475,21428,20,5187,20688,2.000000,21428
503723,0,70,175,3519,21428,20,5187,20949,2.000000,21428
